Team,AdjEM,Tempo
South Carolina St.,-24.11,68.2
Rider,-24.46,65.8
Kansas City,-25.11,69.8
Binghamton,-25.51,65.3
VMI,-26.22,66.8
Gardner Webb,-26.36,69.2
Delaware St.,-27.47,65.8
Coppin St.,-27.61,68.0
Western Illinois,-28.51,66.6
Mississippi Valley St.,-31.46,66.9
