Team,Player,Pos,Status,Reported,ImpactMultiplier,AutoAdjEM_delta,Source,Note
George Mason,Jermahri Hill,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Hill is questionable with undisclosed"
George Washington,Ty Bevins,G,Questionable,Mar 12,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Fordham Bevins is questionable with undisclosed"
George Washington,Jalen Rougier-Roane,G,Out for season,Feb 27,,-0.1,covers_raw:injuries_raw.txt,is out for season Rougier-Roane is out for season with undisclosed
Georgetown,KJ Lewis,G,Out for season,Feb 27,,-0.1,covers_raw:injuries_raw.txt,is out for season Lewis is out for season with ankle
Georgia St.,Clash Peters,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Peters is out for season with personal
Georgia Tech,Dyllan Thompson,G/F,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thompson is questionable with undisclosed"
Georgia Tech,Mouhamed Sylla,C,Out,Feb 6,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Sylla is out with undisclosed
Gonzaga,Braden Huff,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Huff is out with knee
Grand Canyon,Wilhelm Breidenbach,F,Out,Mar 12,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Thursday vs Nevada Breidenbach is out with undisclosed
Hawaii,Aaron Hunkin-Claytor,G,Out for season,Feb 8,,-0.1,covers_raw:injuries_raw.txt,is out for season Hunkin-Claytor is out for season with toe
Illinois,Jason Jakstys,C,Out for season,Feb 1,,-0.1,covers_raw:injuries_raw.txt,is out for season Jakstys is out for season with undisclosed
Indiana,Jason Drake,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Drake is out with foot
Indiana,Jordan Rayford,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Rayford is out for season with undisclosed
Indiana St.,Zyair Greene,G,Questionable,Mar 5,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Greene is questionable with undisclosed"
Indiana St.,Jayan Walker,G,Questionable,Mar 5,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Walker is questionable with undisclosed"
Iowa,Peyton McCollum,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season McCollum is out for season with undisclosed
Iowa St.,Xzavion Mitchell,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Texas Tech Mitchell is questionable with undisclosed"
Jackson St.,Daeshun Ruffin,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Wednesday vs Florida A&M Ruffin is questionable with leg"
Jacksonville St.,Bencao Vungo,G/F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Vungo is out with undisclosed
Jacksonville St.,Jordan Vick,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Vick is out with undisclosed
Kansas St.,Abdi Bashir,G,Out,Mar 10,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Tuesday vs BYU Bashir is out with undisclosed
Kansas St.,Mobi Ikegwuruka,G,Out,Mar 10,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Tuesday vs BYU Ikegwuruka is out with undisclosed
Kansas St.,Dorin Buca,C,Out,Mar 10,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Tuesday vs BYU Buca is out with undisclosed
Kennesaw St.,Chase Clemmons,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Clemmons is out for season with undisclosed
Kennesaw St.,Brendan Tousignaut,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Tousignaut is out for season with undisclosed
Kennesaw St.,Darius Washington,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Washington is questionable with undisclosed"
Kentucky,Jaland Lowe,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Lowe is out for season with arm
Kentucky,Jayden Quaintance,F,Out,Jan 25,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Quaintance is out with knee
LSU,Dedan Thomas,G,Out for season,Feb 14,,-0.1,covers_raw:injuries_raw.txt,is out for season Thomas is out for season with foot
Louisiana,Jamyron Keller,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Keller is out for season with foot
Louisiana,Sean Elkinton,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Elkinton is out for season with foot
Louisiana Tech,Will Jeffress,F,Out for season,Feb 28,,-0.1,covers_raw:injuries_raw.txt,is out for season Jeffress is out for season with knee
Louisiana Tech,A'Meir Williams,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Williams is out for season with undisclosed
