team,adjoe,adjde,adjt,barthag
Richmond,110.43628786687638,110.54140388088224,67.57433739379233,0.4972648320637319
Western Kentucky,108.01531305963596,108.19842905595004,69.90277116278831,0.4951303560617191
Merrimack,106.16560728498628,106.370627482287,63.49702466535585,0.4944535662542826
Monmouth,106.29956681388936,106.70220706597212,66.89224008044566,0.4891323929394321
Charlotte,112.8974046202672,113.50602930357954,63.38020999004851,0.4845475581149492
Winthrop,110.35211529172416,110.9943911437044,69.91765836484063,0.4833215061256523
Massachusetts,109.92745000401511,110.64926623580938,70.16618178451266,0.4811924848713098
Towson,104.1060536100793,104.87975929749275,63.39890861475898,0.4787251496391609
FIU,107.68223622602828,108.55882600272317,71.61180820798364,0.4767076126927774
Fordham,103.21121359255724,104.20943323236196,64.20145760623879,0.4723559148608807
Oakland,113.78301544036997,114.96713992191296,69.99070739247252,0.4702699879483151
Northern Kentucky,108.95179129019552,110.15179246147028,70.00322321315255,0.4685492782590751
Green Bay,113.06502212765672,114.33315517545358,62.95650683523581,0.4679774922935986
Texas A&M Corpus Chris,104.04763681705587,105.2691670315934,65.92666305564107,0.4664940800574971
UT Arlington,101.378479145763,102.6319301626691,64.81302008672814,0.4647299192445547
Utah Tech,111.21497321540008,112.68085882804358,66.44231208232402,0.4624241756396696
Appalachian St.,105.34281630333412,106.96314839452008,62.981321781725015,0.4562271424927496
UMBC,107.568859946595,109.2440972710758,66.00705847646276,0.4556874579478566
Siena,107.25094661434976,108.94841557223803,64.63036549362391,0.4549757799335444
Campbell,110.42724477115247,112.30324622207726,69.84287591797177,0.4517189945379707
Detroit Mercy,108.81239172145212,110.66855102793468,68.81152757234331,0.4515236081268425
Portland,106.2748344764978,108.11246666299962,68.50089605965204,0.4508713871942429
Charleston,106.73857676863848,108.71533969203688,67.72787381579302,0.4474379008273383
Youngstown St.,106.34776190168095,108.34463817068448,67.25485647573235,0.4467201603655949
Louisiana Tech,103.22178867091912,105.19117172227376,63.937165629088824,0.4458770654267949
Cal St. Fullerton,107.58299720242454,109.6743831115646,72.87521260201137,0.4448720623084706
Furman,106.8966117277042,109.00322170503932,65.84093311010186,0.4441277773879366
New Mexico St.,108.1207832023472,110.26310210386949,66.6037747851725,0.4438295072089329
South Alabama,107.10839677857533,109.27114577776304,64.62320185447794,0.4427776995036671
East Tennessee St.,107.8482526237384,110.02956823737306,66.01537055473479,0.4426841615607808
Queens,114.63228556806592,117.0823488001596,69.5022342323596,0.4394973218489222
Missouri St.,109.33216795960988,111.67805524616912,65.26755469377501,0.4392663685065913
