Team,AdjEM_torvik,Tempo_torvik,AdjEM_kenpom,Tempo_kenpom,AdjEM_evanmiya,Tempo_evanmiya,AdjEM_blend,Tempo_blend,sources_used,InjuryAdj,AdjEM_current,source_count
Creighton,9.875742144677034,67.02907675982249,,,,,9.875742144677034,67.02907675982249,torvik,0.0,9.875742144677034,1
Marquette,9.871318603071387,68.8705046293432,,,,,9.871318603071387,68.8705046293432,torvik,0.0,9.871318603071387,1
Oklahoma St,9.506771407042166,72.11764303692614,,,,,9.506771407042166,72.11764303692614,torvik,0.0,9.506771407042166,1
Northern Iowa,9.239779702720071,62.08237134594772,,,,,9.239779702720071,62.08237134594772,torvik,0.0,9.239779702720071,1
Utah Valley,8.947621243331923,68.90001768143287,,,,,8.947621243331923,68.90001768143287,torvik,0.0,8.947621243331923,1
Wichita St,8.707662226834344,66.19327774972287,,,,,8.707662226834344,66.19327774972287,torvik,0.0,8.707662226834344,1
High Point,8.359779102725327,69.71264577240719,,,,,8.359779102725327,69.71264577240719,torvik,0.0,8.359779102725327,1
Xavier,8.342988117428845,70.00621542523471,,,,,8.342988117428845,70.00621542523471,torvik,0.0,8.342988117428845,1
Oregon,8.277665563251261,65.83295599122502,,,,,8.277665563251261,65.83295599122502,torvik,0.0,8.277665563251261,1
Yale,8.19446580504244,64.73372852973672,,,,,8.19446580504244,64.73372852973672,torvik,0.0,8.19446580504244,1
Sam Houston St,7.872997425427627,69.96620499589596,,,,,7.872997425427628,69.96620499589596,torvik,0.0,7.872997425427628,1
Notre Dame,7.683198667505337,65.46608277995223,,,,,7.683198667505337,65.46608277995223,torvik,0.0,7.683198667505337,1
DePaul,7.581428143014335,66.1862314259128,,,,,7.581428143014335,66.1862314259128,torvik,0.0,7.581428143014335,1
Wyoming,7.417748479938581,66.217513126131,,,,,7.417748479938582,66.217513126131,torvik,0.0,7.417748479938582,1
Mississippi St,7.381023236436462,69.13102579981424,,,,,7.381023236436462,69.13102579981424,torvik,0.0,7.381023236436462,1
Davidson,7.231378787830764,63.60000842189328,,,,,7.2313787878307645,63.60000842189328,torvik,0.0,7.2313787878307645,1
Hofstra,7.225187675053661,64.94074822727849,,,,,7.225187675053661,64.94074822727849,torvik,0.0,7.225187675053661,1
Saint Joseph's,7.055268764553844,67.91837056521004,,,,,7.055268764553844,67.91837056521004,torvik,0.0,7.055268764553844,1
Kansas St,6.826544853314701,72.24809575327187,,,,,6.826544853314701,72.24809575327187,torvik,0.0,6.826544853314701,1
Illinois St,6.765401872571303,66.63962277355446,,,,,6.765401872571304,66.63962277355446,torvik,0.0,6.765401872571304,1
South Carolina,6.6132494339726975,66.19058606989002,,,,,6.6132494339726975,66.19058606989002,torvik,0.0,6.6132494339726975,1
Seattle,6.5185126819538795,67.85252918922323,,,,,6.5185126819538795,67.85252918922323,torvik,0.0,6.5185126819538795,1
Pacific,6.257378518345277,64.45493713428895,,,,,6.257378518345278,64.45493713428895,torvik,0.0,6.257378518345278,1
St Thomas,6.244583079023826,68.51658160740274,,,,,6.244583079023826,68.51658160740274,torvik,0.0,6.244583079023826,1
Pittsburgh,6.120783344770146,63.76705410744354,,,,,6.120783344770146,63.76705410744354,torvik,0.0,6.120783344770146,1
Utah,6.105663029054156,66.35278690638695,,,,,6.105663029054156,66.35278690638695,torvik,0.0,6.105663029054156,1
Liberty,6.058915942417087,63.926705639256966,,,,,6.058915942417087,63.926705639256966,torvik,0.0,6.058915942417087,1
UNLV,5.634424440255884,69.88788702612982,,,,,5.634424440255883,69.88788702612982,torvik,0.0,5.634424440255883,1
Cal Baptist,5.265407649246882,65.38758383658639,,,,,5.265407649246881,65.38758383658639,torvik,0.0,5.265407649246881,1
Illinois Chicago,5.227812218561738,66.122441429615,,,,,5.227812218561738,66.122441429615,torvik,0.0,5.227812218561738,1
Hawaii,5.1866908403655,69.37342493351683,,,,,5.1866908403655,69.37342493351683,torvik,0.0,5.1866908403655,1
UC Irvine,5.1763874147679445,68.26912773338914,,,,,5.1763874147679445,68.26912773338914,torvik,0.0,5.1763874147679445,1
UNC Wilmington,4.66409864284654,64.56725573938634,,,,,4.66409864284654,64.56725573938634,torvik,0.0,4.66409864284654,1
Florida Atlantic,4.608585819432449,69.61017505066786,,,,,4.608585819432449,69.61017505066786,torvik,0.0,4.608585819432449,1
Washington St,4.451948691779407,67.62410778960461,,,,,4.451948691779407,67.62410778960461,torvik,0.0,4.451948691779407,1
North Dakota St,4.414088582018351,66.2518696904215,,,,,4.414088582018351,66.2518696904215,torvik,0.0,4.414088582018351,1
UC Santa Barbara,4.371502084591015,64.01414370221454,,,,,4.371502084591015,64.01414370221454,torvik,0.0,4.371502084591015,1
Duquesne,4.349614748634224,69.27852055982117,,,,,4.349614748634224,69.27852055982117,torvik,0.0,4.349614748634224,1
UC San Diego,4.131643402930791,67.41068541981062,,,,,4.131643402930791,67.41068541981062,torvik,0.0,4.131643402930791,1
UT Rio Grande Valley,4.077523087864691,66.3269952701279,,,,,4.077523087864691,66.3269952701279,torvik,0.0,4.077523087864691,1
Memphis,3.851826678395682,69.7175059570152,,,,,3.8518266783956823,69.7175059570152,torvik,0.0,3.8518266783956823,1
Murray St,3.8312047615429634,71.30362288921417,,,,,3.8312047615429634,71.30362288921417,torvik,0.0,3.8312047615429634,1
San Francisco,3.7924886929325794,65.56996358792333,,,,,3.7924886929325794,65.56996358792333,torvik,0.0,3.7924886929325794,1
Fresno St,3.762289591980121,68.04722945608252,,,,,3.7622895919801214,68.04722945608252,torvik,0.0,3.7622895919801214,1
Montana St,3.573235131263118,65.77969137959879,,,,,3.573235131263118,65.77969137959879,torvik,0.0,3.573235131263118,1
Wright St.,3.551869854182087,66.57394589539369,,,,,3.551869854182087,66.57394589539369,torvik,0.0,3.551869854182087,1
Maryland,3.3840986457107647,66.21178147120575,,,,,3.3840986457107647,66.21178147120575,torvik,0.0,3.3840986457107647,1
George Mason,3.250408064384061,63.57932800408901,,,,,3.250408064384061,63.57932800408901,torvik,0.0,3.250408064384061,1
UAB,3.2279143859303048,68.97125741428181,,,,,3.2279143859303048,68.97125741428181,torvik,0.0,3.2279143859303048,1
